iter	Logloss
0	0.6547607409
1	0.6187439065
2	0.584846491
3	0.5532066201
4	0.5226877554
5	0.493133695
6	0.4672668483
7	0.4411635192
8	0.4187976517
9	0.397283613
10	0.376439707
11	0.3569096871
12	0.3340496825
13	0.3167941175
14	0.2990165738
15	0.2834560865
16	0.2672263251
17	0.2541874486
18	0.2421360427
19	0.2307100448
20	0.2205590871
21	0.2105672971
22	0.2006503153
23	0.1919981297
24	0.1824508452
25	0.1716560847
26	0.1645709801
27	0.1578913043
28	0.1504151064
29	0.1427391402
30	0.1368422283
31	0.1316119779
32	0.1267774616
33	0.1222059112
34	0.1168753283
35	0.1117556875
36	0.106668091
37	0.1016370949
38	0.09786560783
39	0.09419333553
40	0.09026743297
41	0.08704945494
42	0.08422592595
43	0.08149985165
44	0.07793820268
45	0.07636181756
46	0.07355559731
47	0.07120615554
48	0.06881213129
49	0.0660852244
50	0.06370486771
51	0.06126310891
52	0.05905082358
53	0.05750026392
54	0.05558062359
55	0.05428016469
56	0.05248475356
57	0.05082752588
58	0.04938419851
59	0.04840805817
60	0.04679130315
61	0.04543909324
62	0.04406703244
63	0.04342880065
64	0.04277663961
65	0.0419444234
66	0.04142690204
67	0.04018339095
68	0.03918170128
69	0.03853258035
70	0.03793653264
71	0.03687552996
72	0.03605404272
73	0.03518096233
74	0.03445306917
75	0.03385723683
76	0.03302898009
77	0.03247766446
78	0.03212017558
79	0.03141480204
80	0.03075659211
81	0.0303745133
82	0.02978060461
83	0.02921636273
84	0.02863365017
85	0.02807993911
86	0.02758675548
87	0.02716743582
88	0.02691583874
89	0.02639994942
90	0.02622641528
91	0.0259309902
92	0.0256819217
93	0.02543632316
94	0.02498336789
95	0.02469771803
96	0.02449111108
97	0.02411284609
98	0.02393256979
99	0.0236182666
100	0.02344042691
101	0.02310279551
102	0.02274703687
103	0.02240090884
104	0.02202487736
105	0.02174321431
106	0.02146199565
107	0.02117332631
108	0.02101923445
109	0.02084823889
110	0.0205654514
111	0.02041337961
112	0.02018888746
113	0.02007050333
114	0.01990750976
115	0.01968548562
116	0.01948466225
117	0.01931501467
118	0.01923594915
119	0.01897051073
120	0.01878802258
121	0.01867811712
122	0.01847612764
123	0.01836972736
124	0.01828117805
125	0.01814541984
126	0.01806612485
127	0.01796629408
128	0.0178787928
129	0.01774968811
130	0.01755277752
131	0.01738870374
132	0.01721483072
133	0.01707677185
134	0.01693153823
135	0.01685696641
136	0.01677575761
137	0.01660735709
138	0.0165013509
139	0.01643048475
140	0.01624155315
141	0.01617766443
142	0.01602867626
143	0.01589125957
